OTUs,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_5355,Bacteria,Parcubacteria,uncultured planctomycete,,,,
OTU_5278,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_5183,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_4742,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_3429,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_3835,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_4745,Bacteria,SM2F11,uncultured bacterium,,,,
OTU_3816,Bacteria,SM2F11,uncultured bacterium,,,,
OTU_4315,Bacteria,SM2F11,uncultured bacterium,,,,
OTU_4096,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_3397,Bacteria,Parcubacteria,uncultured Parcubacteria bacterium,,,,
OTU_2893,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_4094,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_2840,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_4025,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_4531,Bacteria,Parcubacteria,uncultured Parcubacteria bacterium,,,,
OTU_2185,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_5120,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_3246,Bacteria,Microgenomates,uncultured soil bacterium,,,,
OTU_4883,Bacteria,Microgenomates,uncultured candidate division WS6 bacterium,,,,
OTU_5192,Bacteria,Microgenomates,uncultured bacterium,,,,
OTU_5318,Bacteria,Microgenomates,uncultured bacterium,,,,
OTU_4375,Bacteria,Microgenomates,uncultured bacterium,,,,
OTU_4715,Bacteria,Microgenomates,uncultured bacterium,,,,
OTU_3461,Bacteria,Gracilibacteria,uncultured bacterium,,,,
OTU_4993,Bacteria,Gracilibacteria,uncultured sludge bacterium,,,,
OTU_5436,Bacteria,Gracilibacteria,uncultured bacterium,,,,
OTU_3619,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_3126,Bacteria,Candidate division SR1,uncultured bacterium,,,,
OTU_4221,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_5293,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_4653,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_3834,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_797,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_4475,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_3514,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_3854,Bacteria,WCHB1-60,uncultured bacterium,,,,
OTU_3960,Bacteria,WCHB1-60,uncultured soil bacterium,,,,
OTU_2127,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
OTU_4077,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
OTU_5551,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
OTU_2518,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
OTU_4689,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured Verrucomicrobia bacterium
OTU_5257,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured Verrucomicrobia bacterium
OTU_4513,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
OTU_3688,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
OTU_968,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,uncultured Verrucomicrobia bacterium
OTU_2461,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Alterococcus,uncultured bacterium
OTU_4230,Bacteria,Verrucomicrobia,Opitutae,BC-COM435,uncultured Verrucomicrobia bacterium,,
OTU_4399,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus,uncultured Verrucomicrobia bacterium
OTU_4711,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus,uncultured organism
OTU_3447,Bacteria,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,,
OTU_5419,Bacteria,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,,
OTU_5126,Bacteria,Microgenomates,uncultured bacterium,,,,
OTU_1350,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_1443,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus misasensis DSM 22328
OTU_2837,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus cellulosilyticus
OTU_1458,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus peraridilitoris DSM 19664
OTU_2265,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. YIM 77859
OTU_5186,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus citri
OTU_2173,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. 2A5
OTU_5284,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_604,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. R-36206
OTU_491,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_2831,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured Deinococcus sp.
OTU_4919,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_3357,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured Deinococcus sp.
OTU_1974,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_2545,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_4423,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_1811,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. 2009
OTU_63,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans ATCC 13939
OTU_1803,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. MH01
OTU_3040,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured Deinococcus sp.
OTU_735,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured Deinococcus sp.
OTU_3998,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,uncultured bacterium
OTU_886,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured Deinococcales bacterium
OTU_4946,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured microorganism
OTU_1539,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_5219,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_1273,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured Deinococcales bacterium
OTU_5259,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured Deinococci bacterium
OTU_721,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_2590,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured Thermus/Deinococcus group bacterium
OTU_2619,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_3844,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_1786,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_1346,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_3217,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_1095,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_1224,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured bacterium
OTU_3112,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,unidentified marine bacterioplankton
OTU_3882,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,uncultured Thermus sp.
OTU_4649,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_5491,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_4685,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_4468,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_1666,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_2141,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_1362,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_1872,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_1501,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_2868,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium mle1-12,,
OTU_4169,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,,
OTU_5066,Bacteria,Cyanobacteria,Melainabacteria,Caenarcaniphilales,uncultured bacterium,,
OTU_3283,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_3640,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_5386,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_3404,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_3137,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_2811,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_4897,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_5371,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_2542,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_3629,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured cyanobacterium,,
OTU_5078,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured soil bacterium,,
OTU_4796,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_4824,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
OTU_3913,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_1265,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Clostridium sp. CAG:306,,
OTU_1490,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_1935,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_3848,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured rumen bacterium,,
OTU_2847,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_1318,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_1791,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_2064,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_3254,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_756,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_1010,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_669,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_3609,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured rumen bacterium,,
OTU_1214,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_1242,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_2710,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured bacterium,,
OTU_822,Bacteria,Cyanobacteria,Cyanobacteria,uncultured,uncultured bacterium,,
OTU_570,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Mastigocladopsis,uncultured bacterium
OTU_3473,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyII,Calothrix,uncultured bacterium
OTU_1357,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured bacterium
OTU_729,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured bacterium
OTU_1857,Bacteria,Cyanobacteria,Cyanobacteria,uncultured bacterium,,,
OTU_2224,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured bacterium
OTU_3550,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured bacterium
OTU_1571,Bacteria,Cyanobacteria,Cyanobacteria,uncultured,uncultured bacterium,,
OTU_3391,Bacteria,Cyanobacteria,Cyanobacteria,uncultured,uncultured bacterium,,
OTU_1457,Bacteria,Cyanobacteria,Cyanobacteria,uncultured,uncultured bacterium,,
OTU_1862,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured bacterium
OTU_2474,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Crinalium,uncultured prokaryote
OTU_653,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured Chroococcidiopsis sp.
OTU_3880,Bacteria,Cyanobacteria,Cyanobacteria,uncultured,uncultured bacterium,,
OTU_1153,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,uncultured bacterium
OTU_1499,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Chroococcidiopsis,Myxosarcina sp. SAG 30.84
OTU_766,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,uncultured,uncultured Oscillatoriales cyanobacterium
OTU_3580,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Phormidium,Microcoleus steenstrupii ATA12-3-DP02
OTU_2005,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix,uncultured bacterium
OTU_3775,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Crinalium,Starria zimbabweensis SAG 74.90
OTU_2293,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Pseudanabaenaceae cyanobacterium ANP1-KK1,
OTU_2052,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa,uncultured bacterium
OTU_2874,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Leptolyngbya,Thlaspi arvense
OTU_3403,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,uncultured,uncultured bacterium
OTU_976,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Leptolyngbya,uncultured bacterium
OTU_1361,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_3173,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_4574,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_5406,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_2288,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_3099,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_1327,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_3180,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_4931,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_860,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_3512,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_3310,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_1058,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_1429,Bacteria,Cyanobacteria,ML635J-21,uncultured soil bacterium,,,
OTU_4128,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_5621,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_2577,Bacteria,Cyanobacteria,ML635J-21,uncultured prokaryote,,,
OTU_3721,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_5153,Bacteria,Cyanobacteria,ML635J-21,uncultured cyanobacterium,,,
OTU_5432,Bacteria,Cyanobacteria,ML635J-21,uncultured bacterium,,,
OTU_3944,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_5504,Bacteria,Hydrogenedentes,uncultured gamma proteobacterium,,,,
OTU_2060,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_1753,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_697,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_1888,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_1364,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_2343,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_2691,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_2660,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_4127,Bacteria,Hydrogenedentes,uncultured soil bacterium PRR-11,,,,
OTU_4167,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_3615,Bacteria,Hydrogenedentes,soil bacterium WWH121,,,,
OTU_5100,Bacteria,Hydrogenedentes,uncultured bacterium,,,,
OTU_5626,Bacteria,Hydrogenedentes,uncultured organism,,,,
OTU_4185,Bacteria,Armatimonadetes,uncultured bacterium,,,,
OTU_4887,Bacteria,Armatimonadetes,uncultured bacterium,,,,
OTU_558,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_4963,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_5310,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_286,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_2380,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_2845,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,uncultured beta proteobacterium
OTU_4259,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_2854,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_3114,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,uncultured beta proteobacterium
OTU_4691,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_1433,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_5043,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_2853,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_2850,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_3202,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,uncultured beta proteobacterium
OTU_2296,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_3164,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_3268,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,,
OTU_4640,Bacteria,Chloroflexi,uncultured,uncultured bacterium,,,
OTU_5538,Bacteria,Chloroflexi,uncultured,uncultured bacterium,,,
OTU_4974,Bacteria,Chloroflexi,Ardenticatenia,uncultured,uncultured soil bacterium,,
OTU_3311,Bacteria,Chloroflexi,Ardenticatenia,uncultured,uncultured Chloroflexi bacterium,,
OTU_3945,Bacteria,Chloroflexi,Ardenticatenia,uncultured,uncultured bacterium,,
OTU_2584,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_5038,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_3812,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_3465,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_5262,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea,uncultured bacterium
OTU_3408,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea,uncultured bacterium
OTU_4219,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea,uncultured bacterium
OTU_3667,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_2581,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_2289,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_2032,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured Chloroflexi bacterium
OTU_3924,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_4527,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_3262,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_1769,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
OTU_3427,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured,uncultured Chloroflexi bacterium
OTU_2973,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_3568,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured Chloroflexi bacterium
OTU_3295,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_4029,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,wastewater metagenome
OTU_2646,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_4629,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_3737,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5191,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_2593,Bacteria,Chloroflexi,Ardenticatenia,uncultured,uncultured soil bacterium,,
OTU_3731,Bacteria,Chloroflexi,Ardenticatenia,uncultured,uncultured bacterium,,
OTU_3038,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5331,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5649,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5062,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_689,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured soil bacterium
OTU_4490,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured soil bacterium
OTU_3671,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,uncultured bacterium
OTU_5393,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,uncultured bacterium
OTU_4690,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_3875,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_3351,Bacteria,Chloroflexi,uncultured,uncultured bacterium,,,
OTU_2214,Bacteria,Chloroflexi,uncultured,uncultured Chloroflexi bacterium,,,
OTU_4076,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5209,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_2690,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured sludge bacterium S41
OTU_5148,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured Chloroflexi bacterium
OTU_4547,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_1854,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5297,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5580,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_2789,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU_5224,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
